"ID","Type","Status","Priority","Milestone","Owner","Summary","AllLabels"
"7","Enhancement","New","Medium","","","Mox should format expected versus actual method call discrepancies elegantly.","Priority-Medium, Type-Enhancement"
"10","Defect","New","Medium","","","Mox should offer a stubout call which is safe to call repeatedly and won't try to mock out the mock object","Priority-Medium, Type-Defect"
"12","Enhancement","New","Medium","","smidd...@gmail.com","MockObject should be smarter about recording args vs kwargs","Priority-Medium, Type-Enhancement"
"14","Defect","New","Medium","","","Mox should handle class attributes raising an AttributeError","Priority-Medium, Type-Defect"
"18","Defect","New","Medium","","","And comparator should use == comparison rather than .equals","Priority-Medium, Type-Defect"
"24","Enhancement","New","Low","","","IgnoreArgs","Priority-Low, Type-Enhancement"
"29","Defect","New","Medium","","","MockObject should provide a way to test methods like __str__","Priority-Medium, Type-Defect"
"31","Defect","New","Medium","","","Comparison page outdated","Priority-Medium, Type-Defect"
"34","Defect","New","Medium","","","Mox ExpectedMethodCallsError's _str__ method prints out one character per line","Priority-Medium, Type-Defect"
"36","Defect","New","Medium","","","ContainsAttributeValue missing __repr__ (issues useless errors)","Priority-Medium, Type-Defect"
"39","Defect","New","Medium","","","__contains__ is not prpoperly handled is class hiararchies","Priority-Medium, Type-Defect"
"40","Defect","New","Medium","","","different versions of 0.5.3 on googlecode and on PyPI","Priority-Medium, Type-Defect"
"41","Defect","New","Medium","","","Mox should check that expected calls match with objects API","Priority-Medium, Type-Defect"
"43","Defect","New","Medium","","","New release","Priority-Medium, Type-Defect"
"44","Defect","New","Medium","","","Documentation changed before code submited?","Priority-Medium, Type-Defect"
"45","Defect","New","Medium","","","python 3 compatibility","Priority-Medium, Type-Defect"
"46","Defect","New","Medium","","","UnexpectedMethodCallError in an other moudle call moxed time.localtime()","Priority-Medium, Type-Defect"
"48","Defect","New","Medium","","","SwallowedExceptionError's _str__ method prints out one character per line when used with nose","Priority-Medium, Type-Defect"
"49","Defect","New","Medium","","","pymox should support a context handler for verification","Priority-Medium, Type-Defect"
"50","Defect","New","Medium","","","Provide a comparator to capture a value for later inspection","Priority-Medium, Type-Defect"
"52","Patch","New","","","","Patch for /trunk/mox.py - Bug fix for MultipleTimes().WithSideEffect()","Type-Patch"
"53","Defect","New","Medium","","","Improve MockObject description for classmethod","Priority-Medium, Type-Defect"
"54","Defect","New","Medium","","","StubOutWithMock on a MockAnything sometimes succeeds, sometimes fails.","Priority-Medium, Type-Defect"
"55","Defect","New","Medium","","","String formatting error in StubOutWithMock method","Priority-Medium, Type-Defect"
"56","Defect","New","Medium","","","Stub out os.stat raises exception when run with nosetests","Priority-Medium, Type-Defect"
"57","Defect","New","Medium","","","Improper handling when mocking on instances","Priority-Medium, Type-Defect"
"58","Defect","New","Medium","","","mox release is old and full of bugs","Priority-Medium, Type-Defect"
"59","Defect","New","Medium","","","MockObject.__eq__ behaviour causes problems when the mocks are used in lists. ","Priority-Medium, Type-Defect"

